variable,media,mediana,std,asimetria,sesgo,curtosis,forma curtosis,intervalo central,iqr,no atipicos (iqr),largo,normalidad,p_valor
duration_min,3.7633301937075503,3.6,0.9972334363606471,1.1498632795746293,Sesgo positivo (derecha),2.6991862521840813,leptocurtica,"[3.130316666666667, 4.226416666666666]",1.0960999999999994,"[1.49, 5.87]",32833,False,4.869621633921073e-211
tempo,120.88113154448268,121.984,26.903624171880182,0.5288778917081435,Sesgo positivo (derecha),0.0832643602873202,mesocurtica,"[99.96, 133.918]",33.95800000000001,"[49.02, 184.86]",32833,False,4.870542876045833e-251
valence,0.5105609737154692,0.512,0.2331459743695146,-0.0054853502322221945,Simétrica,-0.9009807644915608,platicurtica,"[0.331, 0.693]",0.36199999999999993,"[-0.21, 1.24]",32833,False,4.8023287341670366e-35
instrumentalness,0.08474716133310999,1.61e-05,0.22423012401751716,2.759471812660231,Sesgo positivo (derecha),6.27406145048724,leptocurtica,"[0.0, 0.00483]",0.00483,"[-0.01, 0.01]",32833,False,0.0
acousticness,0.17533371507934092,0.0804,0.21963254030407936,1.5947859047363795,Sesgo positivo (derecha),1.878408921828512,leptocurtica,"[0.0151, 0.255]",0.2399,"[-0.34, 0.61]",32833,False,0.0
speechiness,0.10706806871135748,0.0625,0.101314131511281,1.9670285269916068,Sesgo positivo (derecha),4.260834591627873,leptocurtica,"[0.041, 0.132]",0.091,"[-0.10, 0.27]",32833,False,0.0
loudness,-6.719499131970882,-6.166,2.988436386332407,-1.3640970274976503,Sesgo negativo (izquierda),4.49095786964828,leptocurtica,"[-8.171, -4.645]",3.526,"[-13.46, 0.64]",32833,False,1.279175131052418e-203
track_popularity,42.477080985593766,45.0,24.984074486186937,-0.2333200734354193,Simétrica,-0.9327703859519016,platicurtica,"[24.0, 62.0]",38.0,"[-33.00, 119.00]",32833,False,3.9313617898899374e-140
energy,0.6986192707032559,0.721,0.18091003391959107,-0.6363298409581123,Sesgo negativo (izquierda),0.000528151996844084,mesocurtica,"[0.581, 0.84]",0.259,"[0.19, 1.23]",32833,False,1.356002094470754e-87
danceability,0.6548495202996985,0.672,0.14508532044765135,-0.504488435020354,Sesgo negativo (izquierda),0.010202119107933783,mesocurtica,"[0.563, 0.761]",0.19800000000000006,"[0.27, 1.06]",32833,False,1.0428077949357288e-64
